height_Mm,temperature_K,pressure_dyn_cm2,i_pw_H,f_pw_H_1e16_cm3,i_pw_total_e,f_pw_total_e_1e16_cm3,iterations,duration_s,i_heinzel2015,f_heinzel2015_1e16_cm3,C_i,C_f
30,6000,0.1,0.1968667475753638,5.541340439209006,0.1973424191365155,5.56815088317117,67,19.1480995430029,0.27,3.4,1.3714860601160672,0.6135699542916605
30,6000,0.2,0.1148663479023024,5.507596578191511,0.1153239505242569,5.551566127614037,67,23.612547595999786,0.17,3.4,1.4799808917455146,0.6173291655861317
30,8000,0.01,0.7902080101801727,8.917934761759295,0.7912944955692089,8.942474798591995,96,34.350607636995846,0.8,6.1,1.0123916610483292,0.6840148714876465
30,8000,0.02,0.6709617111145632,7.874943119553173,0.6720182006866586,7.8997622568654196,98,34.50466951201088,0.68,5.1,1.0134706477817088,0.6476237253494442
30,8000,0.05,0.4682077991915224,7.143831851969158,0.4692408273174538,7.175390149006327,100,29.170500597989303,0.5,4.3,1.0679019035209896,0.6019178627244325
30,8000,0.1,0.337884760479998,6.95912853847233,0.338905467946134,7.00123735354247,100,29.551691813991056,0.39,4.0,1.154239686471705,0.574784612453513
30,8000,0.2,0.266333609935722,6.910180083416545,0.2673421098872012,6.962611397242533,100,35.108841359004145,0.32,4.0,1.201500629519609,0.5788561154288054
30,10000,0.01,0.842638592925542,10.05947195735948,0.8898421040669681,11.218076430284928,111,38.76105291100976,0.85,7.4,1.0087361380504778,0.7356250935802034
30,10000,0.02,0.761655533252709,8.62649432256965,0.7956293458515836,9.413231170511018,126,43.94689853199816,0.76,6.0,0.9978264015943811,0.6955316697191921
30,10000,0.05,0.6920579445060524,7.700813412621063,0.7111860265161039,8.13238842713212,136,26.35766547800449,0.66,4.5,0.9536773694160345,0.5843538544415104
30,10000,0.1,0.7039551850975106,7.8545642226156,0.7150912728341791,8.105037459740164,137,39.33504554499814,0.67,4.3,0.9517651324738702,0.5474523955917294
30,10000,0.2,0.7196413686425526,8.216383815524566,0.7260079276895705,8.362405111043973,133,46.296520764997695,0.71,4.5,0.9866025369542902,0.5476861963893909
30,12000,0.01,0.8820881327256799,10.685375472645145,0.9678723101026347,12.864768022372308,95,28.016886293989955,0.89,8.3,1.0089694747959845,0.776762596807967
30,12000,0.02,0.8377903310428582,8.480488689757992,0.9231883284537754,10.297476321745602,114,22.3563990630064,0.83,6.1,0.9907013356991587,0.7192981705602717
30,12000,0.05,0.8428074897489735,7.203120456416217,0.9270401131331846,8.714870895634284,132,30.52276684601384,0.81,4.2,0.9610735664454703,0.5830806280990106
30,12000,0.1,0.8732700118066635,7.373805434969859,0.9555754600436952,8.829265107191091,142,43.7376804700034,0.84,4.2,0.961901804302391,0.5695837837111535
30,12000,0.2,0.8988045144616602,8.015077319845284,0.9774853763262856,9.47976919749485,144,49.92404812200402,0.88,4.5,0.9790783043931158,0.5614418701686167
30,14000,0.01,0.9126031821020412,11.58078233140713,0.9989051140927298,13.87466207699466,75,22.71403779998945,0.92,8.9,1.0081051853018104,0.7685145739993026
30,14000,0.02,0.8923235263566919,8.833011868139254,0.9785794044498336,10.623222298351834,93,18.21247466499335,0.88,6.0,0.9861893965667271,0.6792700032071789
30,14000,0.05,0.910431398648927,7.427686778909307,0.996624514108754,8.900660952419283,113,32.76651800199761,0.88,4.2,0.9665747483071356,0.5654519536184232
30,14000,0.1,0.9320813555802292,7.484048686624867,1.0182070552657647,8.93102214688793,125,43.48466385800566,0.91,4.1,0.9763096263560778,0.5478318182680082
30,14000,0.2,0.9490150564837676,8.017730446165542,1.0350297747868364,9.536981332601954,133,25.85967832901224,0.93,4.3,0.9799633774471177,0.5363113700157459
