height_Mm,T6000K_p0.01,T6000K_p0.02,T6000K_p0.05,T6000K_p0.1,T6000K_p0.2,T8000K_p0.01,T8000K_p0.02,T8000K_p0.05,T8000K_p0.1,T8000K_p0.2,T10000K_p0.01,T10000K_p0.02,T10000K_p0.05,T10000K_p0.1,T10000K_p0.2,T12000K_p0.01,T12000K_p0.02,T12000K_p0.05,T12000K_p0.1,T12000K_p0.2,T14000K_p0.01,T14000K_p0.02,T14000K_p0.05,T14000K_p0.1,T14000K_p0.2
41,4.2928707,3.7880574,3.3060584,3.2144995,3.2144953,5.8776802,4.8435544,4.0583173,3.7769858,3.7771277,7.1470522,5.6880709,4.24364,4.0632928,4.249488,7.9854696,5.75567,3.9617084,3.9730955,4.2614689,8.5278851,5.6512642,3.9634628,3.8783044,4.0729476
42,4.2742069,3.7696971,3.2896924,3.198885,3.1988817,5.8568645,4.8210495,4.0377981,3.7582322,3.7584018,7.1228691,5.6601071,4.2218402,4.0433617,4.2284335,7.9557571,5.7251064,3.94147,3.9539793,4.2414129,8.4933047,5.6207733,3.9434245,3.8596375,4.0538671
43,4.2548965,3.7506932,3.272745,3.1827618,3.1827636,5.8354226,4.7975339,4.0165208,3.7388349,3.7390402,7.0981188,5.6315256,4.1992631,4.0227232,4.2066172,7.9253604,5.6933914,3.9205014,3.9341811,4.2206195,8.4578823,5.5891727,3.9226717,3.8402974,4.0340782
44,4.2356578,3.7315216,3.2555108,3.1661522,3.1661361,5.8142125,4.7739003,3.994962,3.7188963,3.7190492,7.0734122,5.6024599,4.1761922,4.0014736,4.1840729,7.8946782,5.6617875,3.8990193,3.9137524,4.199107,8.4219935,5.5570934,3.9013397,3.8203237,4.013594
45,4.2168276,3.7131094,3.238857,3.150363,3.1503773,5.7914707,4.7513226,3.9740694,3.6999052,3.7001658,7.0454614,5.5740745,4.1543123,3.9813189,4.1628416,7.8599843,5.6299969,3.8786877,3.8944677,4.1788753,8.3819965,5.5254215,3.8810176,3.8014405,3.9943268
46,4.1936358,3.6902862,3.2199527,3.1327803,3.1328584,5.7656861,4.722881,3.9496689,3.6786014,3.6790762,7.0131446,5.5391863,4.1284757,3.9585056,4.1389994,7.8141568,5.5917876,3.8551069,3.872575,4.1560631,8.3269914,5.4867965,3.8577377,3.7800715,3.9725944
47,4.1790927,3.6752462,3.2059651,3.1192111,3.1192732,5.7505962,4.7045926,3.9324414,3.6624109,3.6628479,6.9962378,5.5173306,4.1101904,3.9413759,4.1208063,7.7962485,5.5680177,3.8381223,3.8561836,4.1387743,8.3024744,5.4628996,3.8408894,3.7640846,3.9561749
48,4.1605652,3.6568621,3.19039,3.1045286,3.1045988,5.7306295,4.6819651,3.912579,3.6447331,3.6452328,6.9733756,5.4895643,4.0890907,3.9224874,4.1009291,7.7680076,5.5382743,3.818804,3.8380881,4.1198193,8.2694994,5.4336403,3.8219106,3.7464678,3.9381682
49,4.1476834,3.6432053,3.1769061,3.0913768,3.0914353,5.7168628,4.6657284,3.8962067,3.6290881,3.6295491,6.9576607,5.4699757,4.0719729,3.9060187,4.0833942,7.7485076,5.5164399,3.8027761,3.8223739,4.1031855,8.249463,5.4113411,3.8058608,3.7311057,3.9223669
50,4.1334176,3.6285945,3.1627699,3.0774731,3.0774995,5.7017578,4.6479078,3.8790306,3.6125446,3.6128954,6.9404456,5.4487494,4.0536521,3.8885343,4.0647106,7.7272745,5.4925555,3.78555,3.8056022,4.0854221,8.2244538,5.3871432,3.7886615,3.7147043,3.9054783
