status,height_Mm,temperature_K,pressure_dyn_cm2,pressure_Pa,i_ne_over_nH,f_cm3,f_1e16_cm3,proton_fraction_np_over_nH,f_proton_cm3,f_proton_1e16_cm3,ne_cm3,nH_cm3,n2_cm3,hydrogen_population_sum_over_nH,reconstructed_pressure_Pa,pressure_relative_error,center_index,n_depth_points,iterations,duration_s,bc_type,boundary_source,Nhalf_points,Nrays,threads_per_model,JTol,popsTol,error_type,error_message
ok,2,8000,0.01,0.001,0.8417317245512539,1.0308281092868426e+17,10.308281092868423,0.8406473836707816,1.028173940369714e+17,10.28173940369714,3952782707.755257,4696012509.048028,151.57222619335118,1.0,0.0009999697585891,-3.0241410834287025e-05,45,91,89,22.507440291010425,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,8000,0.02,0.002,0.7434923940025345,9.449551483976776e+16,9.449551483976776,0.742438383261606,9.422778193481184e+16,9.422778193481184,7357840117.370603,9896321975.48146,572.9140825846342,1.0,0.0019999416578075,-2.917109623800339e-05,45,91,91,16.48497525100538,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,8000,0.05,0.005,0.5577504727441369,8.766203282413206e+16,8.766203282413207,0.5567208067547649,8.733866493462058e+16,8.733866493462058,15358470422.358751,27536454333.772152,2690.818432053673,1.0,0.0049998959830246,-2.0803395069969585e-05,45,91,93,24.983841608001967,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,8000,0.1,0.01,0.4058853416364951,8.539999294277978e+16,8.539999294277978,0.4048679757938796,8.497241333252973e+16,8.497241333252973,24628805508.973354,60679218938.21568,7102.788184130875,1.0,0.0099999230495035,-7.695049644533545e-06,45,91,94,32.66720145000727,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,8000,0.2,0.02,0.3112374473254991,8.489677720244482e+16,8.489677720244481,0.310231729416399,8.434900083439238e+16,8.434900083439238,40329868658.61547,129579101117.73148,19158.540048494742,1.0000000000000002,0.0199999755935864,-1.2203206768007788e-06,45,91,94,32.6038065419998,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,10000,0.01,0.001,0.9289851883867868,1.27759493826212e+17,12.7759493826212,0.8822772663658538,1.1523536476546493e+17,11.523536476546491,3338919793.432944,3594158265.570505,87.26071975631928,1.0,0.0009999737099363,-2.629006369287562e-05,45,91,104,35.60968138500175,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,10000,0.02,0.002,0.8467790674235178,1.1281309111964342e+17,11.281309111964342,0.8135187751336413,1.041248605654037e+17,10.41248605654037,6345787501.131147,7494029724.234188,356.95342277967694,1.0,0.0019999473974726,-2.630126366915189e-05,45,91,119,41.22420214800513,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,10000,0.05,0.005,0.7547857162288315,9.944364841445843e+16,9.944364841445845,0.7361582620001658,9.459585020539123e+16,9.459585020539125,14847862221.95415,19671625870.371742,2216.924017543185,1.0,0.0049999559804489,-8.803910216820253e-06,45,91,130,33.47195456099871,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,10000,0.1,0.01,0.7451096339335607,9.85921904749045e+16,9.85921904749045,0.7341900662635601,9.57236315753318e+16,9.57236315753318,29470141777.120674,39551416912.35795,8808.905169671194,1.0,0.0099999833384542,-1.6661545790622174e-06,45,91,132,45.433815248994506,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,10000,0.2,0.02,0.754151442434201,1.019820935252713e+17,10.19820935252713,0.747896501415159,1.0029742754858077e+17,10.029742754858075,59362499051.735146,78714294916.85216,34554.1670292739,1.0,0.019999994567166,-2.716416987180725e-07,45,91,129,35.99016498499259,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,12000,0.01,0.001,0.9974197464411452,1.4833865976326038e+17,14.833865976326038,0.9116421044039904,1.239216470244782e+17,12.392164702447818,2889294800.460874,2896769199.497057,56.27679565996611,1.0,0.0009999777707383,-2.22292616497248e-05,45,91,88,16.331676945002982,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,12000,0.02,0.002,0.9551147096940934,1.2583617359087085e+17,12.583617359087086,0.8697311855947004,1.0434328896880776e+17,10.434328896880777,5648199943.928051,5913635175.545638,253.5213976730716,1.0,0.0019999644983079,-1.7750846032860493e-05,45,91,108,22.74650994798867,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,12000,0.05,0.005,0.9446949530725224,1.068629028996582e+17,10.686290289965822,0.8604817903618179,8.865988128036875e+16,8.865988128036875,14038319079.208416,14860160979.531263,1844.179759506583,1.0,0.0049999851941587,-2.961168241340239e-06,45,91,128,23.72638278499653,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,12000,0.1,0.01,0.966727055461618,1.0712202622453955e+17,10.712202622453956,0.8844444762878486,8.96627759083551e+16,8.96627759083551,28423154756.31987,29401426799.571304,7541.639705435672,1.0,0.009999994745652,-5.254347956729076e-07,45,91,138,39.39591541100526,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,12000,0.2,0.02,0.9863714454103906,1.1459578274512864e+17,11.459578274512864,0.9077231753876,9.704976769285987e+16,9.704976769285988,57451714801.99156,58245517010.16462,28802.975594925952,1.0,0.0199999979985649,-1.0007175279408421e-07,45,91,141,39.93140152399428,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,14000,0.01,0.001,1.020102123180716,1.625569243964997e+17,16.25569243964997,0.9338009962420334,1.3621559653341898e+17,13.621559653341896,2505593268.3076897,2456218070.103764,38.62030270009213,1.0,0.0009999826509604,-1.7349039525956997e-05,45,91,69,24.49608299099782,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,14000,0.02,0.002,0.997307912728728,1.3145229312336253e+17,13.145229312336252,0.9110526657846012,1.0969746800178051e+17,10.96974680017805,4952836956.521848,4966206417.605192,186.6121414471458,0.9999999999999998,0.001999975600014,-1.219999297614495e-05,45,91,88,26.17856562900124,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,14000,0.05,0.005,1.0058761389202646,1.0927201944473304e+17,10.927201944473303,0.9196833991885114,9.134749698544669e+16,9.134749698544669,12437452939.65018,12364795682.499125,1415.6436058569525,1.0,0.0049999912608866,-1.7478226789491287e-06,45,91,110,29.80314179598645,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,14000,0.1,0.01,1.0241915817699014,1.0856769732141731e+17,10.856769732141732,0.9380662420858598,9.107627039270253e+16,9.107627039270252,25108057072.68475,24515000435.07057,5806.649173914384,1.0,0.0099999964725728,-3.527427112556824e-07,45,91,123,23.04914987699885,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,2,14000,0.2,0.02,1.039436512230582,1.1540015387560077e+17,11.540015387560077,0.9534222473907932,9.709145620632253e+16,9.709145620632253,50598071321.3225,48678366332.10182,22185.10751898519,1.0,0.0199999982708268,-8.645865585965584e-08,45,91,131,45.53158864099533,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
ok,3,6000,0.01,0.001,0.7652991280379178,8.097834378248963e+16,8.097834378248963,0.7646719534806209,8.084567213958435e+16,8.084567213958435,4989915513.556504,6520215861.671898,307.4804406880937,1.0000000000000002,0.0010000283273807,2.8327380775057184e-05,45,91,62,18.37749816699943,cone,Promweaver FAL-C tabulated boundary,45,10,1,0.005,0.001,,
